station_name,latitude,longitude
Mount Druitt,-33.76961389,150.8197972
Mount Kuring-gai,-33.65303333,151.1368639
Mulgrave,-33.62673056,150.8302306
Museum,-33.8762,151.2097
Narwee,-33.947383,151.069946
Newtown,-33.89792,151.17952
Normanhurst,-33.720904,151.097149
North Strathfield,-33.85894,151.08808
North Sydney,-33.8411,151.2072
Oatley,-33.98067,151.07902
Olympic Park,-33.84663056,151.0694833
Padstow,-33.9518889,151.032325
Panania,-33.95433611,150.9977806
Parramatta,-33.81770833,151.0055694
Pendle Hill,-33.80153333,150.9564389
Pennant Hills,-33.738,151.072475
Penrith,-33.750142,150.696427
Penshurst,-33.96617389,151.0891334
Petersham,-33.89396,151.15517
Punchbowl,-33.9254,151.0556
Pymble,-33.74479,151.14222
Quakers Hill,-33.72808,150.88677
Redfern,-33.89202,151.19873
Regents Park,-33.88298611,151.0241694
Revesby,-33.95243889,151.0148194
Rhodes,-33.830529,151.086983
Richmond,-33.59912778,150.7531833
Riverstone,-33.67913,150.86033
Riverwood,-33.95152778,151.0520694
Rockdale,-33.952051,151.136658
Rooty Hill,-33.77156389,150.8450944
Roseville,-33.78421,151.17728
Schofields,-33.704693,150.873886
Sefton,-33.8853,151.011525
Seven Hills,-33.77439,150.93656
St James,-33.8702,151.212
St Leonards,-33.82223,151.19413
St Marys,-33.762075911173234,150.77513594668935
St Peters,-33.90745833,151.180275
Stanmore,-33.8944,151.164
Strathfield,-33.8718,151.09433
Summer Hill,-33.89055,151.13951
Sutherland,-34.03175,151.05732
Sydenham,-33.914525,151.1665333
Tempe,-33.92449722,151.15645
Thornleigh,-33.73188056,151.0782528
Toongabbie,-33.787374,150.951557
Town Hall,-33.8736819,151.2047579
Turramurra,-33.73242,151.12846
Turrella,-33.92994722,151.1399472
Villawood,-33.880790668882824,150.97605373821182
Vineyard,-33.65097778,150.8510722
Wahroonga,-33.71751,151.11698
Waitara,-33.71011,151.10444
Warrawee,-33.72424,151.12176
Warwick Farm,-33.91336944,150.9350389
Waterfall,-34.134395,150.994506
Waverton,-33.8379,151.1975
Wentworthville,-33.80723889,150.9726278
Werrington,-33.75927788,150.7583556
West Ryde,-33.807233,151.090207
Westmead,-33.80853056,150.9879722
Wiley Park,-33.923,151.0671
Windsor,-33.61381111,150.8108333
Wolli Creek,-33.92831667,151.154025
Wollstonecraft,-33.832,151.1917
Woolooware,-34.04767788,151.1440361
Wynyard,-33.865868,151.205547
Yagoona,-33.90663056,151.0241972
Yennora,-33.864744,150.971061
